🕘️更新时间,#genre#
2025-12-08 06:32:30,http://125.42.148.146:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0

📺央视频道,#genre#
CCTV-2,http://125.42.148.146:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-11,http://125.42.148.146:9901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-13,http://125.42.148.146:9901/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-14,http://125.42.148.146:9901/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0
CETV-1,http://player.cntv.cn/standard/live_HLSDRM20180524.swf?ChannelID=cetv2&videoTVChannel=cetv2&P2PChannelID=pd://cctv_p2p_hdcetv2&tai=cetv2&VideoName=cetv2&channelID=cetv2
CETV-1,http://player.cntv.cn/standard/live_HLSDRM20180524.swf?ChannelID=cetv4&videoTVChannel=cetv4&P2PChannelID=pd://cctv_p2p_hdcetv4&tai=cetv4&VideoName=cetv4&channelID=cetv4
CETV-1,http://player.cntv.cn/standard/live_HLSDRM20180524.swf?ChannelID=cetv1&videoTVChannel=cetv1&P2PChannelID=pd://cctv_p2p_hdcetv1&tai=cetv1&VideoName=cetv1&channelID=cetv1
CETV-1,http://122.70.160.24:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226494/.m3u8
CETV-1,http://122.70.160.24:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226925/.m3u8
CETV-1,http://111.43.126.240:7777/hls/34/index.m3u8
CETV-1,rtsp://115.153.254.81/PLTV/88888888/224/3221226858/63768493.smil
CETV-1,rtsp://115.153.240.228:554/PLTV/88888888/224/3221226858/63768493.smil
CETV-1,rtsp://115.153.212.72/PLTV/88888888/224/3221226858/63768493.smil
CETV-1,rtsp://115.153.233.154/PLTV/88888888/224/3221226858/63768493.smil

💰央视付费频道,#genre#
央视台球,http://183.11.239.36:808/hls/73/index.m3u8
央视台球,http://dassby.qqff.top:99/live/央视台球/index.m3u8
央视台球,rtsp://115.153.245.70/PLTV/88888888/224/3221226955/86106661.smil
央视台球,rtsp://115.153.247.80/PLTV/88888888/224/3221226955/86106661.smil
央视台球,rtsp://115.153.230.145/PLTV/88888888/224/3221226955/86106661.smil
央视台球,rtsp://115.153.222.112:554/PLTV/88888888/224/3221226955/86106661.smil
风云音乐,http://dassby.qqff.top:99/live/风云音乐/index.m3u8
风云音乐,rtsp://115.153.245.70/PLTV/88888888/224/3221226994/86128897.smil
风云音乐,rtsp://115.153.247.80/PLTV/88888888/224/3221226994/86128897.smil
风云音乐,rtsp://115.153.222.112:554/PLTV/88888888/224/3221226994/86128897.smil
第一剧场,http://1.31.14.70:54321/hls/59/index.m3u8
第一剧场,http://61.184.46.85:9901/tsfile/live/1021_1.m3u8?key=txiptv&playlive=1&authid=0
第一剧场,http://dassby.qqff.top:99/live/第一剧场/index.m3u8
第一剧场,rtsp://115.153.245.70/PLTV/88888888/224/3221226961/86128891.smil
第一剧场,rtsp://115.153.247.80/PLTV/88888888/224/3221226961/86128891.smil
第一剧场,rtsp://115.153.222.112:554/PLTV/88888888/224/3221226961/86128891.smil
第一剧场,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000410?AuthInfo=xxx&userid=gf001&userid=gf001
风云剧场,http://dassby.qqff.top:99/live/风云剧场/index.m3u8
风云剧场,rtsp://115.153.245.70/PLTV/88888888/224/3221226963/86128874.smil
风云剧场,rtsp://115.153.247.80/PLTV/88888888/224/3221226963/86128874.smil
风云剧场,rtsp://115.153.222.112:554/PLTV/88888888/224/3221226963/86128874.smil
风云剧场,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000409?AuthInfo=xxx&userid=gf001&userid=gf001
怀旧剧场,http://sh.lnott.top:880/dx95.m3u8
怀旧剧场,http://111.61.236.247:9081/hls/67/index.m3u8
怀旧剧场,http://61.184.46.85:9901/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0
怀旧剧场,http://dassby.qqff.top:99/live/怀旧剧场/index.m3u8
怀旧剧场,rtsp://115.153.245.70/PLTV/88888888/224/3221226996/86128881.smil
怀旧剧场,rtsp://115.153.247.80/PLTV/88888888/224/3221226996/86128881.smil
怀旧剧场,rtsp://115.153.222.112:554/PLTV/88888888/224/3221226996/86128881.smil
女性时尚,http://111.61.236.247:9081/hls/59/index.m3u8
女性时尚,http://dassby.qqff.top:99/live/女性时尚/index.m3u8
高尔夫网球,http://dassby.qqff.top:99/live/高尔夫网球/index.m3u8
高尔夫网球,rtsp://115.153.245.70/PLTV/88888888/224/3221226967/86128985.smil
高尔夫网球,rtsp://115.153.247.80/PLTV/88888888/224/3221226967/86128985.smil
高尔夫网球,rtsp://115.153.222.112:554/PLTV/88888888/224/3221226967/86128985.smil
电视指南,rtsp://115.153.245.70/PLTV/88888888/224/3221226969/86129034.smil
电视指南,rtsp://115.153.247.80/PLTV/88888888/224/3221226969/86129034.smil
电视指南,rtsp://115.153.222.112:554/PLTV/88888888/224/3221226969/86129034.smil
世界地理,http://61.184.46.85:9901/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&authid=0
世界地理,http://111.61.236.247:9081/hls/62/index.m3u8
世界地理,http://183.11.239.36:808/hls/11/index.m3u8
世界地理,http://dassby.qqff.top:99/live/世界地理/index.m3u8
世界地理,rtsp://115.153.245.70/PLTV/88888888/224/3221226965/86128966.smil
世界地理,rtsp://115.153.247.80/PLTV/88888888/224/3221226965/86128966.smil
世界地理,rtsp://115.153.222.112:554/PLTV/88888888/224/3221226965/86128966.smil
兵器科技,rtsp://115.153.245.70/PLTV/88888888/224/3221227004/86132185.smil
